Book,Author(s),Original language,First published,Approximate sales in millions,Genre,descripcion
The Kite Runner,Khaled Hosseini,English,2003,31.5,"Bildungsroman, Historical fiction","THE NUMBER ONE BESTSELLER 'Devastating' Daily Telegraph 'Heartbreaking' The Times 'Unforgettable' Isabel Allende 'Haunting' Independent Afghanistan, 1975: Twelve-year-old Amir is desperate to win the local kite-fighting tournament and his loyal friend Hassan promises to help him. But neither of the boys can foresee what will happen to Hassan that afternoon, an event that is to shatter their lives. After the Russians invade and the family is forced to flee to America, Amir realises that one day he must return to Afghanistan under Taliban rule to find the one thing that his new world cannot grant him: redemption."
Valley of the Dolls,Jacqueline Susann,English,1966,31.0,Novel,Sin descripción
Alcoholics Anonymous Big Book,Bill Wilson,English,1939,30.0,Self-help,"Known as the ""Big Book,"" the basic text of Alcoholics Anonymous has helped millions of people worldwide get and stay sober since the first edition appeared in 1939. Opening chapters articulate A.A.’s program of recovery from alcoholism — the original Twelve Steps — and recount the personal histories of A.A.'s co-founders, Bill W. and Dr. Bob. In the pages that follow, more than 40 A.A. members share how they stopped drinking and found a new healthier and more serene way of life through the Fellowship of Alcoholics Anonymous. Whether reading passages at meetings, reading privately for personal reflection, or working with a sponsor, the Big Book can be a source of inspiration, guidance and comfort on the journey to recovery. This Fourth Edition of Alcoholics Anonymous has been approved by the General Service Conference."
How to Win Friends and Influence People,Dale Carnegie,English,1936,30.0,Self-help,"Do you feel stuck in life, not knowing how to make it more successful? Do you wish to become more popular? Are you craving to earn more? Do you wish to expand your horizon, earn new clients and win people over with your ideas? How to Win Friends and Influence People is a well-researched and comprehensive guide that will help you through these everyday problems and make success look easier. You can learn to expand your social circle, polish your skill set, find ways to put forward your thoughts more clearly, and build mental strength to counter all hurdles that you may come across on the path to success. Having helped millions of readers from the world over achieve their goals, the clearly listed techniques and principles will be the answers to all your questions."
The Great Gatsby,F. Scott Fitzgerald,English,1925,30.0,"Novel, tragedy","The only edition of the beloved classic that is authorized by Fitzgerald’s family and from his lifelong publisher. This edition is the enduring original text, updated with the author’s own revisions, a foreword by his granddaughter, and with a new introduction by National Book Award winner Jesmyn Ward. The Great Gatsby, F. Scott Fitzgerald’s third book, stands as the supreme achievement of his career. First published by Scribner in 1925, this quintessential novel of the Jazz Age has been acclaimed by generations of readers. The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan is an exquisitely crafted tale of America in the 1920s."
Gone with the Wind,Margaret Mitchell,English,1936,30.0,Historical fiction,"After the Civil War sweeps away the genteel life to which she has been accustomed, Scarlett O'Hara sets about to salvage her Georgia plantation home."
Rebecca,Daphne du Maurier,English,1938,30.0,Gothic novel,"El libro en que se basa la serie de Netflix Nominada por los estadounidenses como una de las 100 mejores novelas en la serie de PBS The Great American Read. La novela que por 81 años ha perseguido y encantado a sus lectores con los misterios de la mansión Manderley. “Anoche soñé que había vuelto a Manderley”, así comienzan los recuerdos de la segunda señora de Winter, que la transportan de nuevo a la mansión situada en la costa de Cornualles. Con un marido al que apenas conoce, la joven esposa llega a este inmenso predio para ser inexorablemente ahogada por la fantasmal presencia de Rebeca, la primera señora de Winter, muerta pero nunca olvidada. Y con el espeluznante presentimiento de que algo maligno le está aprisionando el corazón, la joven comienza a investigar el verdadero destino de Rebeca: el oscuro secreto de Manderley. ENGLISH DESCRIPTION Now a Netflix film starring Lily James, Armie Hammer, and Kristin Scott Thomas A PBS Great American Read Top 100 Pick ""Last night I dreamt I went to Manderly again."" With these words, the reader is ushered into an isolated gray stone mansion on the windswept Cornish coast, as the second Mrs. Maxim de Winter recalls the chilling events that transpired as she began her new life as the young bride of a husband she barely knew. For in every corner of every room were phantoms of a time dead but not forgotten—a past devotedly preserved by the sinister housekeeper, Mrs. Danvers: a suite immaculate and untouched, clothing laid out and ready to be worn, but not by any of the great house's current occupants. With an eerie presentiment of evil tightening her heart, the second Mrs. de Winter walked in the shadow of her mysterious predecessor, determined to uncover the darkest secrets and shattering truths about Maxim's first wife—the late and hauntingly beautiful Rebecca. This special edition of Rebecca includes excerpts from Daphne du Maurier's The Rebecca Notebook and Other Memories, an essay on the real Manderley, du Maurier's original epilogue to the book, and more."
Nineteen Eighty-Four,George Orwell,English,1949,30.0,"Dystopian, political fiction, social science fiction","1984 es la novela de ciencia ficción más influyente de todos los tiempos, compuesta de una trama política y humana que llega a ahondar en la psicología y la reforma del lenguaje. Situada en un futuro no tan lejano los lectores acompañan constantemente a Winston Smith, miembro del partido ultrapoderoso a cargo de una de las grandes potencias, quién trabaja reescribiendo la historia para mantener un dominio absoluto de la verdad. El estado totalitario cuenta como líder al Gran Hermano, un personaje inalcanzable para los ciudadanos que sin embargo es omnipresente y casi omnisciente, figura de un partido que vigila constantemente a sus ciudadanos y nunca se sacia de poder. La lucha de Winston para liberarse de esta opresión, junto a su compañera Julia, crea un thriller incomparable que mantiene en vilo al lector y convierte a esta novela en un clásico de la literatura universal."
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30.0,Fiction,Sin descripción
The Lost Symbol,Dan Brown,English,2009,30.0,Fiction,"THE #1 WORLDWIDE BESTSELLER FROM THE ICONIC AUTHOR OF THE DA VINCI CODE “Impossible to put down.” —The New York Times “Thrilling and entertaining, like the experience on a roller coaster.” —Los Angeles Times Famed Harvard symbologist Robert Langdon answers an unexpected summons to deliver a lecture at the U.S. Capitol Building. His plans are interrupted when a disturbing object—artfully encoded with five symbols—is discovered in the building. Langdon recognizes in the find an ancient invitation into a lost world of esoteric, potentially dangerous wisdom. When his mentor, Peter Solomon—a long-standing Mason and beloved philanthropist—is kidnapped, Langdon realizes that the only way to save Solomon is to accept the mystical invitation and plunge headlong into a clandestine world of Masonic secrets, hidden history, and one inconceivable truth . . . all under the watchful eye of a terrifying enemy. Robert Langdon returns in Inferno, Origin, and The Secret of Secrets (coming soon)!"
The Hunger Games,Suzanne Collins,English,2008,29.0,Young adult fiction,"This Special Edition of The Hunger Games includes the most extensive interview Suzanne Collins has given since the publication of The Hunger Games; an absorbing behind-the-scenes look at the creation of the series; and an engaging archival conversation between Suzanne Collins and YA legend Walter Dean Myers on writing about war. The Special Edition answers many questions fans have had over the years, and gives great insight into the creation of this era-defining work. In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to death before-and survival, for her, is second nature. Still, if she is to win, she will have to start making choices that weigh survival against humanity and life against love."
James and the Giant Peach,Roald Dahl,English,1961,28.0,Children's novel,"‘We are now about to visit the most marvellous places and see the most wonderful things!’ This beautiful edition of James and the Giant Peach, part of The Roald Dahl Classic Collection, features official archive material from the Roald Dahl Museum and is perfect for Dahl fans old and new. So, enter a world where invention and mischief can be found on every page and where magic might be at the very tips of your fingers . . . The Roald Dahl Classic Collection reinstates the versions of Dahl’s books that were published before the 2022 Puffin editions, aimed at newly independent young readers."
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26.0,Young adult historical novel,"This book deals with the work of fifteen young Jewish poets who were killed, died of wounds, or were executed in captivity while serving in the Red Army in the Second World War. All were young, all were poets, most were thoroughly assimilated into Soviet society whilst at the same time being rooted in Jewish culture and traditions. Their poetry, written mostly in Russian, Yiddish, and Ukrainian, was coloured by their backgrounds, by the literary and cultural climate that prevailed in the Soviet Union, and was deeply concerned with their expectation of impending death at the hands of the Nazis. The book examines the poets’ backgrounds, their lives, their poetry and their deaths. Like the experiences and poetry of the British First World War poets, the lives and poems of these young Jewish poets are extremely interesting and deeply moving."
Who Moved My Cheese?,Spencer Johnson,English,1998,29.0,"Self-help, motivational, business fable, psychology, leadership, parable","THE #1 INTERNATIONAL BESTSELLER WITH OVER 28 MILLION COPIES IN PRINT! A timeless business classic, Who Moved My Cheese? uses a simple parable to reveal profound truths about dealing with change so that you can enjoy less stress and more success in your work and in your life. It would be all so easy if you had a map to the Maze. If the same old routines worked. If they'd just stop moving ""The Cheese."" But things keep changing... Most people are fearful of change, both personal and professional, because they don't have any control over how or when it happens to them. Since change happens either to the individual or by the individual, Dr. Spencer Johnson, the coauthor of the multimillion bestseller The One Minute Manager, uses a deceptively simple story to show that when it comes to living in a rapidly changing world, what matters most is your attitude. Exploring a simple way to take the fear and anxiety out of managing the future, Who Moved My Cheese? can help you discover how to anticipate, acknowledge, and accept change in order to have a positive impact on your job, your relationships, and every aspect of your life."
A Brief History of Time,Stephen Hawking,English,1988,25.0,Popular science,"#1 NEW YORK TIMES BESTSELLER A landmark volume in science writing by one of the great minds of our time, Stephen Hawking’s book explores such profound questions as: How did the universe begin—and what made its start possible? Does time always flow forward? Is the universe unending—or are there boundaries? Are there other dimensions in space? What will happen when it all ends? Told in language we all can understand, A Brief History of Time plunges into the exotic realms of black holes and quarks, of antimatter and “arrows of time,” of the big bang and a bigger God—where the possibilities are wondrous and unexpected. With exciting images and profound imagination, Stephen Hawking brings us closer to the ultimate secrets at the very heart of creation."
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25.0,Novel,Sin descripción
Lust for Life,Irving Stone,English,1934,25.0,Biographical novel,"From the London Times bestselling author Adele Parks comes a novel about two sisters who discover that maybe there is no such thing as perfect love. If the shoe fits... Here's what the Evergreen sisters have in common: jealousy. Eliza longs for the stability of Martha's picture-perfect marriage; Martha craves the spontaneity of Eliza's life with her sexy musician boyfriend. Now one of the sisters has dumped her mate, and the other one just got dumped. Suddenly single-minded, they are about to get what they think they've always wanted—a chance to walk in the other woman's shoes. ...buy a pair in every color. Here's what the Evergreen sisters found out: trading placescan be a complicated affair. With new lovers in their lives, Eliza's partaking in sensible discourse at upscale dinner parties, while Martha's having great, no-strings-attached sex. But love is full of surprises...and dream lovers can be full of hot air. No longer green with envy, can the Evergreen sisters each find a perfectly imperfect man to make their lives—their real lives—truly satisfying?"
The Wind in the Willows,Kenneth Grahame,English,1908,25.0,Children's literature,"This hardcover edition of the classic tale of THE WIND IN THE WILLOWS has been read and loved by children for generations. Start a new tradition of reading this timeless tale in your home today! •Fully illustrated in color, bringing each tale to life •Filled with humor, adventure and imagination for children of all ages •Great first-time reading for children as well as reading again for parents and grandparents •Beautiful story and unforgettable characters"
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25.0,Self-help,A leading management consultant outlines seven organizational rules for improving effectiveness and increasing productivity at work and at home.
The Celestine Prophecy,James Redfield,English,1993,23.0,New-age spiritual novel,"The #1 bestselling phenomenon with millions of copies sold around the world -- now with a guide to creating your own Celestine Prophecy experience. You have never read a book like this before--a book that comes along once in a lifetime to change lives forever. In the rain forests of Peru, an ancient manuscript has been discovered. Within its pages are 9 key insights into life itself -- insights each human being is predicted to grasp sequentially; one insight, then another, as we move toward a completely spiritual culture on Earth. Drawing on ancient wisdom, it tells you how to make connections among the events happening in your life right now and lets you see what is going to happen to you in the years to come. The story it tells is a gripping one of adventure and discovery, but it is also a guidebook that has the power to crystallize your perceptions of why you are where you are in life and to direct your steps with a new energy and optimism as you head into tomorrow. Praise for The Celestine Prophecy ""A gripping adventure story filled with intrigue, suspense, and spiritual revelations."" - Commonwealth Journal ""A spiritual classic...a book to read and reread, to cherish, and to give to friends."" - Joan Borysenko, PhD, author of Fire in the Soul ""In his inimitable style of great storytelling, Redfield opens us up to a world of insight, inspiration, synchronicity, and power."" - Deepak Chopra"
The Fault in Our Stars,John Green,English,2012,23.0,Young adult romantic novel,"I fell in love the way you fall asleep: slowly, then all at once. Despite the tumour-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten. Insightful, bold, irreverent, and raw, The Fault in Our Stars brilliantly explores the funny, thrilling, and tragic business of being alive and in love. Praise for The Fault in Our Stars: Sunday Times (Culture) 'A touching, often fiercely funny novel' The Sun on Sunday (Fabulous Magazine) 'So good I think it should be compulsory reading for everyone!' Daily Express 'John Green brilliantly captures the voices of a young generation while instilling it with the wisdom of a life that has lived too much yet will never live enough' The Metro - 2013 Best Fiction 'The love affair of two terminally ill teenagers could be mawkish. In fact, it's funny, clever, irreverent and life-affirming.' Grazia 'So good!' Good Housekeeping 'As funny as it is heartbreaking... we defy you not to fall in love with its main characters, Hazel and Augustus.' The Tablet 'A humourous and poignant love story... It's terrifically funny... as well as a moving exploration of loss and grief. And no, it's so much not just for teenage cancer sufferers... it's for everyone.' Bliss 'If you need inspiration when it comes to making the most of a moment, this one is for you' Mizz 'Insightful, bold, irreverent and raw, if this doesn't make you cry, it'll definitely make you think, laugh and maybe even fall in love yourself!'"
The Girl on the Train,Paula Hawkins,English,2015,23.0,Thriller,"The #1 New York Times bestseller, USA Today Book of the Year and now a major motion picture starring Emily Blunt. Rachel takes the same commuter train every morning and night. Every day she rattles down the track, flashes past a stretch of cozy suburban homes and stops at the signal that allows her to daily watch the same couple having breakfast on their deck. She's even started to feel like she knows them. Jess and Jason, she calls them. Their life—as she sees it—is perfect. Not unlike the life she recently lost. And then she sees something shocking. It's only a minute until the train moves on, but it's enough. Now everything's changed. Unable to keep it to herself, Rachel goes to the police. But is she really as unreliable as they say? Soon she is deeply entangled not only in the investigation but in the lives of everyone involved. Has she done more harm than good?"
The Shack,William P. Young,English,2007,22.5,Novel,"With 20 million copies sold worldwide THE SHACK is an international bestseller that explores life's toughest questions through the gripping story of one man's struggle to find answers to his suffering. Mack's youngest daughter, Missy, was abducted during a family vacation and evidence that she may have been brutally murdered is found in an abandoned shack deep in the Oregon wilderness. Four years later, still trapped in his great sadness, Mack receives a suspicious note, apparently from God, inviting him back to that shack. Against his better judgement Mack arrives at the shack on a wintry afternoon. What he finds there will change his life forever. THE SHACK wrestles with the timeless question, 'Where is God in a world so filled with unspeakable pain?' Mack's experiences when he faces up to his darkest nightmares will astound you, and perhaps transform you as much as it did him. This is the kind of book you'll want to tell everyone about. Millions have discovered it already - now it's your turn. This film tie-in edition includes a new ten-page note from the author on his reflections and experiences of seeing The Shack brought to life on film."
The Godfather,Mario Puzo,English,1969,21.0,Crime novel,"El gran clásico de la literatura del siglo XX. La publicación en 1969 de El Padrino convulsionó el mundo literario. Por primera vez, la Mafia protagonizaba una novela y era retratada desde dentro. Mario Puzo la presentaba no como una mera asociación de facinerosos, sino como una compleja sociedad con una cultura propia y una jerarquía aceptada incluso más allá de los círculos del crimen organizado. El Padrino narra la historia de un hombre, Vito Corleone, el capo más respetado de Nueva York. Déspota benevolente, implacable con sus rivales, inteligente y fiel a los principios del honor y la amistad, Don Corleone dirige un emporio que abarca el fraude y la extorsión, los juegos de azar y el control de los sindicatos. ENGLISH DESCRIPTION Mario Puzo's classic saga of an American crime family that became a global phenomenon--nominated as one of America's best-loved novels by PBS's The Great American Read. With its brilliant and brutal portrayal of the Corleone family, The Godfather burned its way into our national consciousness. This unforgettable saga of crime and corruption, passion and loyalty, continues to stand the test of time as the definitive novel of the Mafia underworld. A #1 New York Times bestseller in 1969, Mario Puzo's epic was turned into the incomparable film of the same name, directed by Francis Ford Coppola, which won the Academy Award for Best Picture. It is the original classic that has been often imitated, but never matched. A tale of family and society, law and order, obedience and rebellion, it reveals the dark passions of human nature played out against a backdrop of the American dream."
Love Story,Erich Segal,English,1970,21.0,Romance novel,The story of a rich Harvard jock and a wisecracking Radcliffe music major who have nothing in common but love . . . and everything to share but time. Over 21 million copies of Love Story have been sold in 33 languages.
Catching Fire,Suzanne Collins,English,2009,21.0,"Young Adult novel, adventure, dystopian, science fiction","The second book in Suzanne Collins's phenomenal and worldwide bestselling Hunger Games trilogy. Against all odds, Katniss Everdeen has won the annual Hunger Games with fellow district tribute Peeta Mellark. But it was a victory won by defiance of the Capitol and their harsh rules. Katniss and Peeta should be happy. After all, they have just won for themselves and their families a life of safety and plenty. But there are rumors of rebellion among the subjects, and Katniss and Peeta, to their horror, are the faces of that rebellion. The Capitol is angry. The Capitol wants revenge."
Mockingjay,Suzanne Collins,English,2010,20.0,"Young Adult novel, adventure, war, science fiction, action thriller","The greatly anticipated final book in the New York Times bestselling Hunger Games trilogy by Suzanne Collins. The greatly anticipated final book in the New York Times bestselling Hunger Games trilogy by Suzanne Collins.The Capitol is angry. The Capitol wants revenge. Who do they think should pay for the unrest? Katniss Everdeen. The final book in The Hunger Games trilogy by Suzanne Collins will have hearts racing, pages turning, and everyone talking about one of the biggest and most talked-about books and authors in recent publishing history!"
Gone Girl,Gillian Flynn,English,2012,20.0,Crime thriller novel,"#1 NEW YORK TIMES BESTSELLER • The “mercilessly entertaining” (Vanity Fair) instant classic “about the nature of identity and the terrible secrets that can survive and thrive in even the most intimate relationships” (Lev Grossman, Time “One of the Best Books of the Decade”)—now featuring never-before-published deleted scenes ONE OF TIME'S 100 BEST MYSTERY AND THRILLER BOOKS OF ALL TIME, ONE OF CNN'S MOST INFLUENTIAL BOOKS OF THE DECADE, AND ONE OF ENTERTAINMENT WEEKLY'S BEST BOOKS OF THE DECADE ONE OF THE TEN BEST BOOKS OF THE YEAR: Janet Maslin, The New York Times, People, Entertainment Weekly, O: The Oprah Magazine, Slate, Kansas City Star, USA Today, Christian Science Monitor New York Times Readers Pick: 100 Best Books of the 21st Century On a warm summer morning in North Carthage, Missouri, it is Nick and Amy Dunne’s fifth wedding anniversary. Presents are being wrapped and reservations are being made when Nick’s clever and beautiful wife disappears. Husband-of-the-Year Nick isn’t doing himself any favors with cringe-worthy daydreams about the slope and shape of his wife’s head, but passages from Amy's diary reveal the alpha-girl perfectionist could have put anyone dangerously on edge. Under mounting pressure from the police and the media—as well as Amy’s fiercely doting parents—the town golden boy parades an endless series of lies, deceits, and inappropriate behavior. Nick is oddly evasive, and he’s definitely bitter—but is he really a killer? ONE OF THE BEST BOOKS OF THE YEAR: San Francisco Chronicle, St. Louis Post-Dispatch, The Chicago Tribune, HuffPost, Newsday"
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,20.0,War novel,"Contains nine critical essays that analyze various aspects of Erich Maria Remarque's ""All Quiet on the Western Front,"" and includes a chronology of Remarque's life and works."
Things Fall Apart ,Chinua Achebe,English,1958,20.0,Novel,"One of the BBC's '100 Novels That Shaped Our World' A worldwide bestseller and the first part of Achebe's African Trilogy, Things Fall Apart is the compelling story of one man's battle to protect his community against the forces of change Okonkwo is the greatest wrestler and warrior alive, and his fame spreads throughout West Africa like a bush-fire in the harmattan. But when he accidentally kills a clansman, things begin to fall apart. Then Okonkwo returns from exile to find missionaries and colonial governors have arrived in the village. With his world thrown radically off-balance he can only hurtle towards tragedy. First published in 1958, Chinua Achebe's stark, coolly ironic novel reshaped both African and world literature, and has sold over ten million copies in forty-five languages. This arresting parable of a proud but powerless man witnessing the ruin of his people begins Achebe's landmark trilogy of works chronicling the fate of one African community, continued in Arrow of God and No Longer at Ease. 'His courage and generosity are made manifest in the work' Toni Morrison 'The writer in whose company the prison walls fell down' Nelson Mandela 'A great book, that bespeaks a great, brave, kind, human spirit' John Updike With an Introduction by Biyi Bandele"
Animal Farm ,George Orwell,English,1945,20.0,"Satirical allegorical novella, Political satire, Dystopian Fiction, Roman à clef","This is a classic tale of humanity awash in totalitarianism. A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. First published during the epoch of Stalinist Russia, today it is clear that wherever and whenever freedom is attacked, and under whatever banner, the cutting clarity and savage comedy of Orwell's masterpiece is a message still ferociously fresh."
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20.0,Memoir,"How did you first learn about sex? If you grew up in the 1970s, it may have been from a gleefully lusty tour guide named Xaviera Hollander In the late 1960s -- that era of sexual chaos, when Playboy Clubs and love-ins were competing for national attention -- a beautiful, intelligent young Dutch secretary named Xaviera de Vries moved to New York, grew swiftly tired of her desk job . . . and soon became the most visible and glamorous madam the city had ever seen. As Xaviera Hollander, she published a shockingly candid account of her life behind the brothel door. The Happy Hooker shot straight to the top of the bestseller lists, sold more than fifteen million copies, and made this enterprising young woman an international phenomenon. Thirty years later, these delightfully explicit tales of the '60s and '70s swingers' scene -- including countless jaw-dropping stories of lesbianism, bondage, fetishism, and more -- remain as titillating as ever, charged with the mix of shrewd observation and uninhibited appetite that made Hollander an irresistible storyteller. The Happy Hooker is a classic: the world's greatest book on the world's oldest profession."
Jaws,Peter Benchley,English,1974,20.0,Thriller,"""Relentless terror."" The Philadelphia Inquirer.The classic, blockbuster thriller of man-eating terror that inspired the Steven Spielberg movie and made millions of beachgoers afraid to go into the water. Experience the thrill of helpless horror again -- or for the first time!From the Paperback edition."
Love You Forever,Robert Munsch,English,1986,20.0,"Children's literature, picture book, fiction","‘Pooja’ a young, successful journalist had everything in life; a promising carrier in media, awards, acknowledgments and fame. She was very satisfied with what she has achieved by her own, until she meets ‘Dev’ who becomes her weakness despite of all his demerits. From a broken family, Dev a brilliant, successful mechanical engineer could recall only the loneliness he has lived so far. Obsessed with machines, he has perhaps forgotten the difference between machines and humans. Deprived of basic emotions, he has nothing to lose. As the two meet, their lives converge in the most unexpected & unforeseen-of-ways. An impulsive act of passion, starts a series of incidences, which starts with ‘Seduction, traverses through ‘Sins’ and finally terminates at ‘Schizophrenia’. It is a true story, written on the basis of twenty letters which author receives from his friend ‘Dev’. This is a story and series of emotions ‘When Love Holds You Forever’."
The Women's Room,Marilyn French,English,1977,20.0,Feminist novel,"ONE OF THE MOST INFLUENTIAL AND BESTSELLING NOVELS OF THE MODERN FEMINIST MOVEMENT 'It was about the need to change things from top to bottom; it was a declaration of independence' OBSERVER 'The first and last international bestseller of the women's movement' GUARDIAN 'They said this book would change lives - and it certainly changed mine' JENNI MURRAY, BBC RADIO 4 A landmark in feminist literature, The Women's Room is a biting social commentary of a world gone silently haywire. Written in the 1970s but with profound resonance today, this is a modern allegory that offers piercing insight into the social norms accepted blindly and revered so completely. It follows the transformation of Mira Ward and her circle as the women's movement begins to have an impact on their lives. A biting social commentary on an emotional world gone silently haywire, The Women's Room is a modern classic that offers piercing insight into the social norms accepted so blindly and revered so completely. Marilyn French questions those accepted norms and poignantly portrays the hopeful believers looking for new truths."
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20.0,Pregnancy guide,"Announcing a brand new, cover-to-cover revision of America's pregnancy bible. What to Expect When You're Expecting is a perennial New York Times bestseller and one of USA Today's 25 most influential books of the past 25 years. It's read by more than 90% of pregnant women who read a pregnancy book—the most iconic, must-have book for parents-to-be, with over 14.5 million copies in print. Now comes the Fourth Edition, a new book for a new generation of expectant moms—featuring a new look, a fresh perspective, and a friendlier-than-ever voice. It's filled with the most up-to-date information reflecting not only what's new in pregnancy, but what's relevant to pregnant women. Heidi Murkoff has rewritten every section of the book, answering dozens of new questions and including loads of new asked-for material, such as a detailed week-by-week fetal development section in each of the monthly chapters, an expanded chapter on pre-conception, and a brand new one on carrying multiples. More comprehensive, reassuring, and empathetic than ever, the Fourth Edition incorporates the most recent developments in obstetrics and addresses the most current lifestyle trends (from tattooing and belly piercing to Botox and aromatherapy). There's more than ever on pregnancy matters practical (including an expanded section on workplace concerns), physical (with more symptoms, more solutions), emotional (more advice on riding the mood roller coaster), nutritional (from low-carb to vegan, from junk food–dependent to caffeine-addicted), and sexual (what's hot and what's not in pregnant lovemaking), as well as much more support for that very important partner in parenting, the dad-to-be. Overflowing with tips, helpful hints, and humor (a pregnant woman's best friend), this new edition is more accessible and easier to use than ever before. It's everything parents-to-be have come to expect from What to Expect...only better?."
Adventures of Huckleberry Finn,Mark Twain,English,1885,20.0,"Picaresque novel, Bildungsroman, satire, Robinsonade","Huckleberry Finn, an abused outcast, rafts with Jim, a runaway slave, down the Mississippi River, where they have a variety of experiences."
Pride and Prejudice,Jane Austen,English,1813,20.0,"Classic regency novel, romance",Austen's comedy of manners--one of the most popular novels of all time--features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited courtship in a series of 18-century drawing-room intrigues. Reissue. Copyright © Libri GmbH. All rights reserved.
Where the Wild Things Are,Maurice Sendak,English,1963,20.0,Children's picture book,"In the forty years since Max first cried ""Let the wild rumpus start,"" Maurice Sendak's classic picture book has become one of the most highly acclaimed and best-loved children's books of all time. Now, in celebration of this special anniversary, introduce a new generation to Max's imaginative journey to where the wild things are."
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20.0,Self-help,"The phenomenal and inspiring bestseller by the father of positive thinking. THE POWER OF POSITIVE THINKING is a practical, direct-action application of spiritual techniques to overcome defeat and win confidence, success and joy. Norman Vincent Peale, the father of positive thinking and one of the most widely read inspirational writers of all time, shares his famous formula of faith and optimism which millions of people have taken as their own simple and effective philosophy of living. His gentle guidance helps to eliminate defeatist attitudes, to know the power you posess and to make the best of your life."
The Secret,Rhonda Byrne,English,2006,20.0,Self-help,"The tenth anniversary edition of the book that changed lives in profound ways. In 2005, a groundbreaking feature-length movie revealed the great mystery of the universe -- The Secret. In 2006, Rhonda Byrne followed with a book that became a worldwide bestseller. Everything you have ever wanted - unlimited joy, health, money, relationships, love, youth - is now at your very fingertips. The Secret is an enigma that has existed throughout the history of mankind. It has been discovered, coveted, suppressed, hidden, lost, and recovered. It has been hunted down, stolen, and bought for vast sums of money. A number of exceptional men and women discovered The Secret and went on to become regarded as the greatest human beings who ever lived. Among them: Plato, Leonardo, Galileo, Napoleon, Hugo, Beethoven, Lincoln, Edison, Einstein and Carnegie, to name but a few. Fragments of The Secret have been found in oral traditions, literature, religions, and philosophies throughout the centuries. For the first time, all the pieces of The Secret come together in an incredible, life-changing revelation. The riveting, practical knowledge leads readers to a greater understanding of how they can be the masters of their own lives. The Secret offers guidance on how to apply this powerful knowledge to your life in every area from health to wealth, to success and relationships, so you can obtain everything you've always wanted. No matter who you are, no matter where you are right now, no matter what you want--when you realize The Secret you can have anything."
Fear of Flying,Erica Jong,English,1973,20.0,Romantic novel,Sin descripción
Dune,Frank Herbert,English,1965,20.0,Science fiction novel,"La mayor epopeya de todos los tiempos, en nueva edición con la traducción corregida en 2019. En el desértico planeta Arrakis, el agua es el bien más preciado y llorar a los muertos, el símbolo de máxima prodigalidad. Pero algo hace de Arrakis una pieza estratégica para los intereses del Emperador, las Grandes Casas y la Cofradía, los tres grandes poderes de la galaxia. Arrakis es el único origen conocido de la melange, preciosa especia y uno de los bienes más codiciados del universo. Al duque Leto Atreides se le asigna el gobierno de este mundo inhóspito, habitado por los indómitos Fremen y monstruosos gusanos de arena de centenares de metros de longitud. Sin embargo, cuando la familia es traicionada, su hijo y heredero, Paul, emprenderá un viaje hacia un destino más grande del que jamás hubiese podido soñar. Mezcla fascinante de aventura, misticismo, intrigas políticas y ecologismo, Dune se convirtió, desde el momento de su publicación, en un fenómeno de culto y en la mayor epopeya de ciencia-ficción de todos los tiempos. La crítica ha dicho... «No conozco nada comparable, excepto El Señor de los Anillos.» Arthur C. Clarke «Es muy probable que Dune sea más vigente a día de hoy que cuando fue salió a la luz.» The New Yorker «Un fenómeno impresionante.» The Washington Post «Uno de los monumentos de la ciencia-ficción moderna.» The Chicago Tribune"
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20.0,Children's fantasy novel,First adventure with Willy Wonka.
